"","activity_code","title","spp_BO_ls"
"416","22420-2008-I-0018","Pueblo of Acoma Water Quality Standards"," "
"417","22420-2008-I-0019","Highway 82 rock fall project, Lincoln NF"," "
"418","22420-2011-I-0069","State of New Mexico Digital Microwave Project NT10BIX5570097: 32 communication sites"," "
"419","22420-2008-I-0022","South Pit Pumice Mine Expansion","mexican spotted owl (strix occidentalis lucida): BO = NLAA - Concurrence Provided; CH = "
"420","22420-2008-I-0023","BoR River Mile 111"," "
"421","22420-2008-I-0024","Draft Programmatic EA for Directed Energy Test Site &amp; Ops WSMR"," "
"422","22420-2011-I-0092","El Rincon Farm Wildlife Restoration"," "
"423","22420-2010-I-0004","Broad Canyon Ranch"," "
"424","22420-2008-I-0074","Weedar pesticide use on Bitter Lake NWR"," "
"425","22420-2008-FE-0117","Emergency wildfire suppression on the Galita Fire, Gila National Forest"," "
"426","22420-2008-I-0060","Proposed construction, ops, and maintenance of tactical infrastructure for border protection Deming"," "
"427","22420-2008-I-0061","Release of Salt Cedar Leaf Beetles on Bitterlake NWR"," "
"428","22420-2008-I-0062","Aphis rangeland grasshopper and mormon cricket suppression program"," "
"429","22420-2008-I-0041","Bennett Ranch Permit to Drill EA"," "
"430","22420-2011-I-0005","Pecos pupfish monitoring on Bitter Lake NWR","kosters springsnail (juturnia kosteri): BO = NLAA - Concurrence Provided; CH = , noels amphipod (gammarus desperatus): BO = NLAA - Concurrence Provided; CH = , pecos (=puzzle, =paradox) sunflower (helianthus paradoxus): BO = NLAA - Concurrence Provided; CH = NLAA - Concurrence Provided, pecos assiminea snail (assiminea pecos): BO = NLAA - Concurrence Provided; CH = , pecos gambusia (gambusia nobilis): BO = NLAA - Concurrence Provided; CH = , roswell springsnail (pyrgulopsis roswellensis): BO = NLAA - Concurrence Provided; CH = )"
"431","22420-2011-I-0013","Pueblo of Santa Ana Wildland Urban Interface","rio grande silvery minnow (hybognathus amarus): BO = NLAA - Concurrence Provided; CH = Not Required - See Event Description, southwestern willow flycatcher (empidonax traillii extimus): BO = NLAA - Concurrence Provided; CH = Not Required - See Event Description)"
"432","22420-2008-I-0049","Cross V Alltoment","bald eagle (haliaeetus leucocephalus): BO = NLAA - Concurrence Provided; CH = , chiricahua leopard frog (rana chiricahuensis): BO = NLAA - Concurrence Provided; CH = , mexican gray wolf (canis lupus baileyi): BO = Non-jeopardy; CH = , mexican spotted owl (strix occidentalis lucida): BO = NLAA - Concurrence Provided; CH = )"
"433","22420-2011-I-0019","Western Refinery Pipeline Repair","pecos bluntnose shiner (notropis simus pecosensis): BO = NLAA - Concurrence Provided; CH = , southwestern willow flycatcher (empidonax traillii extimus): BO = NLAA - Concurrence Provided; CH = )"
"434","22420-2008-I-0053","Friends of Rio Rancho and the City of Rio Rancho Bosque Restoration Project"," "
"435","22420-2008-I-0025","DRAFT ENVIRONMENTAL ASSESSMENT FLOOD CONTROL IMPROVEMENTS TO THE RIO GRANDE CANALIZATION PROJECT"," "
"436","22420-2008-FE-0082","Trigo fire emergency consultation"," "
"437","22420-2008-FE-0092","Gila Mesa Homeowners road maintenance project"," "
"438","22420-2008-I-0067","River Mile 111 Reclamation"," "
"439","22420-2011-I-0045","ENMR-Plateau Telecommunications Round II Broadband Project"," "
"440","22420-2008-I-0063","Santo Domingo HIbitat Restoration Phase III"," "
"441","22420-2008-I-0065","EA Border Patrol Station Las Cruces"," "
"442","22420-2008-I-0073","San Francisco River Realignment"," "
"443","22420-2008-I-0052","San Felipe Bridge M101 Reconstruction"," "
"444","22420-2011-I-0047","Santa Fe River Canyon Riparian Forest Restoration Project"," "
"445","22420-2011-I-0049","Cibola National Forest, Deer Claim Uranium Exploration Project"," "
"446","22420-2008-I-0051","Bosque del Apache Fire Prevention"," "
"447","22420-2008-I-0046","Simon Riparian Improvement Project"," "
"448","22420-2011-FE-0070","Las Conchas wildfire-emergency consultation, Santa Fe Forest"," "
"449","22420-2011-IE-0088","Lost River Spring tumbleweed removal","kosters springsnail (juturnia kosteri): BO = NLAA - Concurrence Provided; CH = NLAA - Concurrence Provided, noels amphipod (gammarus desperatus): BO = NLAA - Concurrence Provided; CH = NLAA - Concurrence Provided, pecos (=puzzle, =paradox) sunflower (helianthus paradoxus): BO = NLAA - Concurrence Provided; CH = NLAA - Concurrence Provided, pecos assiminea snail (assiminea pecos): BO = No Effect - Concurrence Provided; CH = No Effect - Concurrence Provided, pecos gambusia (gambusia nobilis): BO = NLAA - Concurrence Provided; CH = , roswell springsnail (pyrgulopsis roswellensis): BO = NLAA - Concurrence Provided; CH = NLAA - Concurrence Provided)"
"450","22420-2008-FE-0081","Emergency suppression on the Pepper Wildfire, Sacramento Ranger District, Lincoln National Forest"," "
"451","22420-2008-I-0047","Willow Harvest From Elephant Butte Reservoir"," "
"452","22420-2008-I-0071","Pueblo of Santa Ana outdoor classroom","rio grande silvery minnow (hybognathus amarus): BO = No Effect - No Concurrence Required; CH = , southwestern willow flycatcher (empidonax traillii extimus): BO = No Effect - No Concurrence Required; CH = , yellow-billed cuckoo (coccyzus americanus): BO = No Effect - No Concurrence Required; CH = )"
"453","22420-2008-I-0072","Draft EA Bosque Revitalization @ Rt 66"," "
"454","02ENNM00-2012-F-0030-R001","US 180 Whitewater Creek Bridge Maintenance"," "
"455","02ENNM00-2012-F-0038","Southwest Jemez Landscape Restoration"," "
"456","02ENNM00-2014-F-0528-R001","Cuchillo Creek Restoration"," "
"457","02ENNM00-2015-F-0394","Funding Monitoring LEPC Response to Landscape Management on NMDGF Prairie Chicken Areas"," "
"458","02ENNM00-2015-F-0734","Rio Grande Project Operating Agreement and Storage","Least tern (Sterna antillarum): BO = No Effect - No Concurrence Required; CH = NA| New Mexico meadow jumping mouse (Zapus hudsonius luteus): BO = No Effect - No Concurrence Required; CH = NA| Piping Plover (Charadrius melodus): BO = No Effect - No Concurrence Required; CH = NA| Rio Grande Silvery Minnow (Hybognathus amarus): BO = NLAA - Concurrence Provided; CH = NA| Southwestern willow flycatcher (Empidonax traillii extimus): BO = Non-jeopardy; CH = Non-jeopardy| Yellow-billed Cuckoo (Coccyzus americanus): BO = Non-jeopardy; CH = Non-jeopardy"
"459","02ENNM00-2015-I-0253","Tactical Infrastructure Maintenance and Repair along International Border in NM"," "
"460","02ENNM00-2015-I-0267","Dark Canyon and Long Canyon Allotment Grazing"," "
"461","02ENNM00-2015-I-0268","BLM-NM-PDO July 2015 Oil and Gas Lease Sale"," "
"462","02ENNM00-2015-I-0323","Alpha Crude Connector Pipeline Gathering System"," "
"463","02ENNM00-2015-I-0341","Whitewater Creek/State Highway 74 Upper Crossing, Gila National Forest"," "
"464","02ENNM00-2015-I-0346","Weaver Ranch Prescribed Fire"," "
"465","02ENNM00-2015-I-0408","Rincon Area Irrigation System Improvements Project - Bureau of Reclamation","Southwestern willow flycatcher (Empidonax traillii extimus): BO = NLAA - Concurrence Provided; CH = NA"
"466","02ENNM00-2015-I-0481","Versado Brininstool Compressor Pipeline"," "
"467","02ENNM00-2015-I-0538","Updating the Los Alamos National Laboratory Habitat Management Plan"," "
"468","02ENNM00-2015-I-0649","White Signal/Ferguson Mountain Allotment, Silver City Ranger District, Gila National Forest"," "
"469","02ENNM00-2015-I-0749","Taos Pueblo Water and Sewage Pipeline","Southwestern willow flycatcher (Empidonax traillii extimus): BO = NLAA - Concurrence Provided; CH = NA| Yellow-billed Cuckoo (Coccyzus americanus): BO = NLAA - Concurrence Provided; CH = NA"
"470","02ENNM00-2015-I-0764","Unit 24 living stream; Bosque del Apache NWR","New Mexico meadow jumping mouse (Zapus hudsonius luteus): BO = NLAA - Concurrence Provided; CH = NA| Southwestern willow flycatcher (Empidonax traillii extimus): BO = NLAA - Concurrence Provided; CH = NA| Yellow-billed Cuckoo (Coccyzus americanus): BO = NLAA - Concurrence Provided; CH = NA"
"471","02ENNM00-2015-I-0805","Framework for Streamlining Consultation for Livestock Grazing Activities in Southwestern Region"," "
"472","02ENNM00-2016-I-0040","Navajo Mine - Area IV North"," "
"473","02ENNM00-2016-I-0063","Penny Lane Diversion Dam"," "
"474","02ENNM00-2016-I-0074","Large ungulate exclosures, Southwest Jemez, Santa Fe National Forest"," "
"475","02ENNM00-2016-I-0224","Bounds and Agua Chiquita Allotments, Sacramento Ranger District, Lincoln National Forest"," "
"476","02ENNM00-2016-I-0252","Fence installation on the San Diego and Cebolla/San Antonio Allotments, Jemez Ranger District"," "
"477","02ENNM00-2016-I-0295","Ongoing grazing Rio de Las Vacas, Palomas and Pe&ntilde;as Negras Allotments, Cuba Ranger District"," "
"478","02ENNM00-2016-I-0321","Sevilleta NWR Habitat Improvement via Tree Trimming and Planting","New Mexico meadow jumping mouse (Zapus hudsonius luteus): BO = No Effect - No Concurrence Required; CH = NA| Rio Grande Silvery Minnow (Hybognathus amarus): BO = No Effect - No Concurrence Required; CH = No Effect - No Concurrence Required| Southwestern willow flycatcher (Empidonax traillii extimus): BO = NLAA - Concurrence Provided; CH = NLAA - Concurrence Provided| Yellow-billed Cuckoo (Coccyzus americanus): BO = NLAA - Concurrence Provided; CH = NLAA - Concurrence Provided"
"479","02ENNM00-2016-F-0829","Bandelier's Trailheads Relocation Project",": BO = ; CH = "
"480","02ENNM00-2013-F-0065-R001","Forest Service Road 150 Bridge replacement and rehabilitation project",": BO = ; CH = "
"481","02ENNM00-2016-F-0300","Ongoing grazing Rio Cebolla and San Antonio Allotments, Jemez Ranger District",": BO = ; CH = "
"482","02ENNM00-2016-F-0383","Pueblo of Sandia RGSM Habitat Restoration Project at River Miles 196 and 195","new mexico meadow jumping mouse (zapus hudsonius luteus): BO = No Effect - No Concurrence Required; CH = , rio grande silvery minnow (hybognathus amarus): BO = Non-jeopardy; CH = , southwestern willow flycatcher (empidonax traillii extimus): BO = NLAA - Concurrence Provided; CH = , yellow-billed cuckoo (coccyzus americanus): BO = NLAA - Concurrence Provided; CH = "
"483","02ENNM00-2016-F-0439","Lakes Trail - Phase II",": BO = ; CH = "
"484","02ENNM00-2016-F-0440","Sacramento Allotment Ongoing Grazing and Proposed Infrastructure Activities Associated NMMJM",": BO = ; CH = "
"485","02ENNM00-2016-F-0626","New 550 Bridge over Rio Grande at Bernalillo",": BO = ; CH = "
"486","02ENNM00-2016-I-0243","Faust Road/Mineral Creek",": BO = ; CH = "
"487","02ENNM00-2016-I-0458","Solid-fueled Rocket Motor Launches from Fort Wingate Launch Complex",": BO = ; CH = "
"488","02ENNM00-2016-I-0638","Gila NF Batched Grazing Allotments",": BO = ; CH = "
"489","02ENNM00-2016-I-0686","Tri-State, Taos to Black Lake Transmission Line Access Project",": BO = ; CH = "
"490","02ENNM00-2016-I-0360","BDA NWR Living Stream Project - Unit 28","new mexico meadow jumping mouse (zapus hudsonius luteus): BO = NLAA - Concurrence Provided; CH = , rio grande silvery minnow (hybognathus amarus): BO = Not Required - See Event Description; CH = , southwestern willow flycatcher (empidonax traillii extimus): BO = NLAA - Concurrence Provided; CH = , yellow-billed cuckoo (coccyzus americanus): BO = NLAA - Concurrence Provided; CH = "
"491","02ENNM00-2016-I-0397","Hay Vega Habitat Improvement Project",": BO = ; CH = "
"492","02ENNM00-2016-I-0482","Animas Hydroelectric Plant Repower Project",": BO = ; CH = "
"493","02ENNM00-2016-I-0484","IBWC Saltcedar Removal Project","southwestern willow flycatcher (empidonax traillii extimus): BO = NLAA - Concurrence Provided; CH = , yellow-billed cuckoo (coccyzus americanus): BO = NLAA - Concurrence Provided; CH = "
"494","02ENNM00-2016-I-0487","Copper Flat Mine Project",": BO = ; CH = "
"495","02ENNM00-2016-I-0488","Rio Mora 5-Year Action Plan",": BO = ; CH = "
"496","02ENNM00-2016-I-0456","Rio Puerco Mainline Loop",": BO = ; CH = "
"497","02ENNM00-2016-I-0570","Aztec Sewer Outfall Line",": BO = ; CH = "
"498","02ENNM00-2016-I-0590","Animas River Diversion Project",": BO = ; CH = "
"499","02ENNM00-2017-I-0085","Taliaferro La Joya Farm Project 1- Lateral Drain Wildlife Habitat Enhancement","alamosa springsnail (tryonia alamosae): BO = No Effect - No Concurrence Required; CH = , chiricahua leopard frog (rana chiricahuensis): BO = No Effect - No Concurrence Required; CH = , chupadera springsnail (pyrgulopsis chupaderae): BO = No Effect - No Concurrence Required; CH = , least tern (sterna antillarum): BO = No Effect - No Concurrence Required; CH = , mexican spotted owl (strix occidentalis lucida): BO = No Effect - No Concurrence Required; CH = , new mexico meadow jumping mouse (zapus hudsonius luteus): BO = No Effect - No Concurrence Required; CH = , northern aplomado falcon (falco femoralis septentrionalis): BO = No Effect - No Concurrence Required; CH = , pecos (=puzzle, =paradox) sunflower (helianthus paradoxus): BO = No Effect - No Concurrence Required; CH = , piping plover (charadrius melodus): BO = No Effect - No Concurrence Required; CH = , rio grande silvery minnow (hybognathus amarus): BO = No Effect - No Concurrence Required; CH = , socorro isopod (thermosphaeroma thermophilus): BO = No Effect - No Concurrence Required; CH = , socorro springsnail (pyrgulopsis neomexicana): BO = No Effect - No Concurrence Required; CH = , southwestern willow flycatcher (empidonax traillii extimus): BO = No Effect - No Concurrence Required; CH = , wright's marsh thistle (cirsium wrightii): BO = No Effect - No Concurrence Required; CH = , yellow-billed cuckoo (coccyzus americanus): BO = NLAA - Concurrence Provided; CH = "
"500","02ENNM00-2016-I-0799","Bosque de Bernalillo Water Quality Project","new mexico meadow jumping mouse (zapus hudsonius luteus): BO = No Effect - No Concurrence Required; CH = , rio grande silvery minnow (hybognathus amarus): BO = NLAA - Concurrence Provided; CH = , southwestern willow flycatcher (empidonax traillii extimus): BO = No Effect - No Concurrence Required; CH = , yellow-billed cuckoo (coccyzus americanus): BO = No Effect - No Concurrence Required; CH = "
"501","02ENNM00-2016-I-0803","Zuni Mountain Trail Partnership",": BO = ; CH = "
"502","02ENNM00-2016-I-0856","Lower Santa Fe Watershed Prescribed Burn",": BO = ; CH = "
